time,feet,centimeters,tide
2015-12-31 04:13:00 UTC,8.7,265,H
2015-12-31 10:18:00 UTC,1.8,55,L
2015-12-31 17:28:00 UTC,12.2,372,H
2016-01-01 00:02:00 UTC,4.7,143,L
2016-01-01 05:18:00 UTC,8.0,244,H
2016-01-01 11:04:00 UTC,3.0,91,L
2016-01-01 18:13:00 UTC,11.9,363,H
2016-01-02 01:06:00 UTC,4.2,128,L
2016-01-02 06:36:00 UTC,7.7,235,H
2016-01-02 11:54:00 UTC,4.3,131,L
2016-01-02 18:54:00 UTC,11.6,354,H
2016-01-03 02:01:00 UTC,3.4,104,L
2016-01-03 08:09:00 UTC,7.8,238,H
2016-01-03 12:54:00 UTC,5.6,171,L
2016-01-03 19:37:00 UTC,11.3,344,H
2016-01-04 02:49:00 UTC,2.5,76,L
2016-01-04 09:49:00 UTC,8.4,256,H
2016-01-04 14:08:00 UTC,6.6,201,L
2016-01-04 20:20:00 UTC,11.1,338,H
2016-01-05 03:32:00 UTC,1.7,52,L
2016-01-05 11:04:00 UTC,9.2,280,H
2016-01-05 15:25:00 UTC,7.2,219,L
2016-01-05 21:03:00 UTC,11.0,335,H
2016-01-06 04:11:00 UTC,0.8,24,L
2016-01-06 11:55:00 UTC,10.1,308,H
2016-01-06 16:31:00 UTC,7.5,229,L
2016-01-06 21:44:00 UTC,10.9,332,H
2016-01-07 04:47:00 UTC,0.0,0,L
2016-01-07 12:34:00 UTC,10.8,329,H
2016-01-07 17:23:00 UTC,7.6,232,L
2016-01-07 22:24:00 UTC,11.0,335,H
2016-01-08 05:24:00 UTC,-0.8,-24,L
2016-01-08 13:06:00 UTC,11.4,347,H
2016-01-08 18:06:00 UTC,7.5,229,L
2016-01-08 23:04:00 UTC,11.0,335,H
2016-01-09 06:01:00 UTC,-1.4,-43,L
2016-01-09 13:36:00 UTC,11.9,363,H
2016-01-09 18:46:00 UTC,7.3,223,L
2016-01-09 23:45:00 UTC,11.1,338,H
2016-01-10 06:39:00 UTC,-1.8,-55,L
2016-01-10 14:07:00 UTC,12.3,375,H
2016-01-10 19:26:00 UTC,7.0,213,L
2016-01-11 00:27:00 UTC,11.1,338,H
2016-01-11 07:19:00 UTC,-2.0,-61,L
2016-01-11 14:39:00 UTC,12.6,384,H
2016-01-11 20:08:00 UTC,6.6,201,L
2016-01-12 01:13:00 UTC,11.0,335,H
2016-01-12 08:01:00 UTC,-1.8,-55,L
2016-01-12 15:14:00 UTC,12.9,393,H
2016-01-12 20:53:00 UTC,6.0,183,L
2016-01-13 02:03:00 UTC,10.7,326,H
2016-01-13 08:44:00 UTC,-1.3,-40,L
2016-01-13 15:51:00 UTC,13.0,396,H
2016-01-13 21:41:00 UTC,5.3,162,L
2016-01-14 02:59:00 UTC,10.3,314,H
2016-01-14 09:28:00 UTC,-0.3,-9,L
2016-01-14 16:29:00 UTC,13.1,399,H
2016-01-14 22:34:00 UTC,4.5,137,L
2016-01-15 04:01:00 UTC,9.7,296,H
2016-01-15 10:15:00 UTC,1.0,30,L
2016-01-15 17:10:00 UTC,13.0,396,H
2016-01-15 23:31:00 UTC,3.6,110,L
2016-01-16 05:12:00 UTC,9.1,277,H
2016-01-16 11:06:00 UTC,2.5,76,L
2016-01-16 17:54:00 UTC,12.8,390,H
2016-01-17 00:32:00 UTC,2.7,82,L
2016-01-17 06:37:00 UTC,8.7,265,H
2016-01-17 12:04:00 UTC,4.2,128,L
2016-01-17 18:42:00 UTC,12.6,384,H
2016-01-18 01:36:00 UTC,1.7,52,L
2016-01-18 08:18:00 UTC,8.9,271,H
2016-01-18 13:15:00 UTC,5.6,171,L
2016-01-18 19:33:00 UTC,12.3,375,H
2016-01-19 02:38:00 UTC,0.7,21,L
2016-01-19 10:02:00 UTC,9.6,293,H
2016-01-19 14:39:00 UTC,6.6,201,L
2016-01-19 20:27:00 UTC,12.0,366,H
2016-01-20 03:35:00 UTC,-0.2,-6,L
2016-01-20 11:19:00 UTC,10.6,323,H
2016-01-20 16:01:00 UTC,7.1,216,L
2016-01-20 21:22:00 UTC,11.8,360,H
2016-01-21 04:27:00 UTC,-0.9,-27,L
2016-01-21 12:15:00 UTC,11.4,347,H
2016-01-21 17:10:00 UTC,7.0,213,L
2016-01-21 22:16:00 UTC,11.6,354,H
2016-01-22 05:14:00 UTC,-1.3,-40,L
2016-01-22 13:00:00 UTC,12.0,366,H
2016-01-22 18:06:00 UTC,6.8,207,L
2016-01-22 23:06:00 UTC,11.4,347,H
2016-01-23 05:57:00 UTC,-1.5,-46,L
2016-01-23 13:37:00 UTC,12.3,375,H
2016-01-23 18:55:00 UTC,6.5,198,L
2016-01-23 23:54:00 UTC,11.2,341,H
2016-01-24 06:38:00 UTC,-1.4,-43,L
2016-01-24 14:10:00 UTC,12.5,381,H
2016-01-24 19:38:00 UTC,6.1,186,L
2016-01-25 00:41:00 UTC,10.9,332,H
2016-01-25 07:18:00 UTC,-1.1,-34,L
2016-01-25 14:40:00 UTC,12.5,381,H
2016-01-25 20:19:00 UTC,5.7,174,L
2016-01-26 01:26:00 UTC,10.5,320,H
2016-01-26 07:56:00 UTC,-0.5,-15,L
2016-01-26 15:08:00 UTC,12.4,378,H
2016-01-26 20:58:00 UTC,5.3,162,L
2016-01-27 02:12:00 UTC,10.1,308,H
2016-01-27 08:33:00 UTC,0.3,9,L
2016-01-27 15:37:00 UTC,12.4,378,H
2016-01-27 21:38:00 UTC,4.8,146,L
2016-01-28 02:59:00 UTC,9.7,296,H
2016-01-28 09:10:00 UTC,1.2,37,L
2016-01-28 16:07:00 UTC,12.2,372,H
2016-01-28 22:19:00 UTC,4.4,134,L
2016-01-29 03:50:00 UTC,9.2,280,H
2016-01-29 09:48:00 UTC,2.3,70,L
2016-01-29 16:40:00 UTC,12.0,366,H
2016-01-29 23:03:00 UTC,3.9,119,L
2016-01-30 04:46:00 UTC,8.7,265,H
2016-01-30 10:28:00 UTC,3.6,110,L
2016-01-30 17:15:00 UTC,11.7,357,H
2016-01-30 23:51:00 UTC,3.5,107,L
2016-01-31 05:51:00 UTC,8.4,256,H
2016-01-31 11:11:00 UTC,4.9,149,L
2016-01-31 17:54:00 UTC,11.3,344,H
2016-02-01 00:42:00 UTC,3.0,91,L
2016-02-01 07:11:00 UTC,8.3,253,H
2016-02-01 12:04:00 UTC,6.1,186,L
2016-02-01 18:37:00 UTC,10.9,332,H
2016-02-02 01:37:00 UTC,2.4,73,L
2016-02-02 08:51:00 UTC,8.5,259,H
2016-02-02 13:16:00 UTC,7.1,216,L
2016-02-02 19:24:00 UTC,10.6,323,H
2016-02-03 02:32:00 UTC,1.8,55,L
2016-02-03 10:26:00 UTC,9.2,280,H
2016-02-03 14:46:00 UTC,7.7,235,L
2016-02-03 20:16:00 UTC,10.4,317,H
2016-02-04 03:23:00 UTC,1.0,30,L
2016-02-04 11:24:00 UTC,10.0,305,H
2016-02-04 16:05:00 UTC,7.7,235,L
2016-02-04 21:08:00 UTC,10.4,317,H
2016-02-05 04:10:00 UTC,0.3,9,L
2016-02-05 12:03:00 UTC,10.7,326,H
2016-02-05 17:00:00 UTC,7.5,229,L
2016-02-05 21:58:00 UTC,10.6,323,H
2016-02-06 04:54:00 UTC,-0.5,-15,L
2016-02-06 12:34:00 UTC,11.3,344,H
2016-02-06 17:43:00 UTC,7.1,216,L
2016-02-06 22:46:00 UTC,10.8,329,H
2016-02-07 05:37:00 UTC,-1.1,-34,L
