time,feet,centimeters,tide
2015-12-30 23:35:00 UTC,8.1,247,H
2015-12-31 06:05:00 UTC,1.1,34,L
2015-12-31 12:47:00 UTC,8.4,256,H
2015-12-31 18:44:00 UTC,3.8,116,L
2016-01-01 00:28:00 UTC,7.4,226,H
2016-01-01 06:49:00 UTC,1.8,55,L
2016-01-01 13:36:00 UTC,8.3,253,H
2016-01-01 19:46:00 UTC,3.8,116,L
2016-01-02 01:30:00 UTC,6.9,210,H
2016-01-02 07:35:00 UTC,2.6,79,L
2016-01-02 14:23:00 UTC,8.4,256,H
2016-01-02 20:51:00 UTC,3.5,107,L
2016-01-03 02:40:00 UTC,6.5,198,H
2016-01-03 08:25:00 UTC,3.3,101,L
2016-01-03 15:11:00 UTC,8.5,259,H
2016-01-03 21:56:00 UTC,3.0,91,L
2016-01-04 03:54:00 UTC,6.3,192,H
2016-01-04 09:22:00 UTC,3.8,116,L
2016-01-04 15:59:00 UTC,8.7,265,H
2016-01-04 22:55:00 UTC,2.3,70,L
2016-01-05 05:04:00 UTC,6.5,198,H
2016-01-05 10:21:00 UTC,4.2,128,L
2016-01-05 16:46:00 UTC,9.0,274,H
2016-01-05 23:46:00 UTC,1.5,46,L
2016-01-06 06:05:00 UTC,6.8,207,H
2016-01-06 11:18:00 UTC,4.3,131,L
2016-01-06 17:31:00 UTC,9.3,283,H
2016-01-07 00:32:00 UTC,0.8,24,L
2016-01-07 06:58:00 UTC,7.3,223,H
2016-01-07 12:10:00 UTC,4.3,131,L
2016-01-07 18:15:00 UTC,9.7,296,H
2016-01-08 01:13:00 UTC,0.1,3,L
2016-01-08 07:43:00 UTC,7.7,235,H
2016-01-08 12:57:00 UTC,4.1,125,L
2016-01-08 18:57:00 UTC,10.0,305,H
2016-01-09 01:53:00 UTC,-0.5,-15,L
2016-01-09 08:25:00 UTC,8.0,244,H
2016-01-09 13:42:00 UTC,3.9,119,L
2016-01-09 19:38:00 UTC,10.2,311,H
2016-01-10 02:32:00 UTC,-0.9,-27,L
2016-01-10 09:04:00 UTC,8.3,253,H
2016-01-10 14:26:00 UTC,3.7,113,L
2016-01-10 20:19:00 UTC,10.3,314,H
2016-01-11 03:11:00 UTC,-1.2,-37,L
2016-01-11 09:43:00 UTC,8.6,262,H
2016-01-11 15:11:00 UTC,3.4,104,L
2016-01-11 21:01:00 UTC,10.2,311,H
2016-01-12 03:50:00 UTC,-1.2,-37,L
2016-01-12 10:22:00 UTC,8.8,268,H
2016-01-12 15:57:00 UTC,3.2,98,L
2016-01-12 21:46:00 UTC,10.0,305,H
2016-01-13 04:30:00 UTC,-1.0,-30,L
2016-01-13 11:03:00 UTC,9.0,274,H
2016-01-13 16:46:00 UTC,3.0,91,L
2016-01-13 22:34:00 UTC,9.5,290,H
2016-01-14 05:12:00 UTC,-0.5,-15,L
2016-01-14 11:45:00 UTC,9.1,277,H
2016-01-14 17:39:00 UTC,2.8,85,L
2016-01-14 23:27:00 UTC,8.9,271,H
2016-01-15 05:56:00 UTC,0.3,9,L
2016-01-15 12:31:00 UTC,9.3,283,H
2016-01-15 18:39:00 UTC,2.6,79,L
2016-01-16 00:29:00 UTC,8.1,247,H
2016-01-16 06:44:00 UTC,1.2,37,L
2016-01-16 13:21:00 UTC,9.4,287,H
2016-01-16 19:46:00 UTC,2.4,73,L
2016-01-17 01:40:00 UTC,7.4,226,H
2016-01-17 07:38:00 UTC,2.1,64,L
2016-01-17 14:16:00 UTC,9.5,290,H
2016-01-17 20:57:00 UTC,2.0,61,L
2016-01-18 03:00:00 UTC,7.0,213,H
2016-01-18 08:40:00 UTC,3.0,91,L
2016-01-18 15:14:00 UTC,9.6,293,H
2016-01-18 22:10:00 UTC,1.4,43,L
2016-01-19 04:22:00 UTC,6.9,210,H
2016-01-19 09:48:00 UTC,3.6,110,L
2016-01-19 16:13:00 UTC,9.8,299,H
2016-01-19 23:16:00 UTC,0.7,21,L
2016-01-20 05:39:00 UTC,7.2,219,H
2016-01-20 10:57:00 UTC,3.9,119,L
2016-01-20 17:12:00 UTC,10.0,305,H
2016-01-21 00:14:00 UTC,0.0,0,L
2016-01-21 06:43:00 UTC,7.6,232,H
2016-01-21 12:00:00 UTC,3.8,116,L
2016-01-21 18:06:00 UTC,10.2,311,H
2016-01-22 01:05:00 UTC,-0.5,-15,L
2016-01-22 07:37:00 UTC,8.0,244,H
2016-01-22 12:57:00 UTC,3.7,113,L
2016-01-22 18:57:00 UTC,10.2,311,H
2016-01-23 01:51:00 UTC,-0.8,-24,L
2016-01-23 08:22:00 UTC,8.4,256,H
2016-01-23 13:47:00 UTC,3.4,104,L
2016-01-23 19:43:00 UTC,10.2,311,H
2016-01-24 02:32:00 UTC,-0.9,-27,L
2016-01-24 09:02:00 UTC,8.6,262,H
2016-01-24 14:33:00 UTC,3.2,98,L
2016-01-24 20:27:00 UTC,10.0,305,H
2016-01-25 03:10:00 UTC,-0.8,-24,L
2016-01-25 09:40:00 UTC,8.7,265,H
2016-01-25 15:16:00 UTC,3.1,94,L
2016-01-25 21:08:00 UTC,9.7,296,H
2016-01-26 03:47:00 UTC,-0.5,-15,L
2016-01-26 10:15:00 UTC,8.8,268,H
2016-01-26 15:57:00 UTC,3.0,91,L
2016-01-26 21:48:00 UTC,9.3,283,H
2016-01-27 04:21:00 UTC,0.0,0,L
2016-01-27 10:50:00 UTC,8.8,268,H
2016-01-27 16:38:00 UTC,3.0,91,L
2016-01-27 22:28:00 UTC,8.8,268,H
2016-01-28 04:55:00 UTC,0.6,18,L
2016-01-28 11:25:00 UTC,8.7,265,H
2016-01-28 17:20:00 UTC,3.0,91,L
2016-01-28 23:10:00 UTC,8.2,250,H
2016-01-29 05:29:00 UTC,1.3,40,L
2016-01-29 12:00:00 UTC,8.6,262,H
2016-01-29 18:05:00 UTC,3.1,94,L
2016-01-29 23:56:00 UTC,7.6,232,H
2016-01-30 06:04:00 UTC,2.0,61,L
2016-01-30 12:38:00 UTC,8.5,259,H
2016-01-30 18:55:00 UTC,3.1,94,L
2016-01-31 00:48:00 UTC,7.0,213,H
2016-01-31 06:42:00 UTC,2.8,85,L
2016-01-31 13:20:00 UTC,8.5,259,H
2016-01-31 19:52:00 UTC,3.1,94,L
2016-02-01 01:52:00 UTC,6.5,198,H
2016-02-01 07:27:00 UTC,3.5,107,L
2016-02-01 14:07:00 UTC,8.4,256,H
2016-02-01 20:57:00 UTC,2.9,88,L
2016-02-02 03:06:00 UTC,6.3,192,H
2016-02-02 08:22:00 UTC,4.2,128,L
2016-02-02 15:00:00 UTC,8.5,259,H
2016-02-02 22:03:00 UTC,2.4,73,L
2016-02-03 04:22:00 UTC,6.3,192,H
2016-02-03 09:29:00 UTC,4.6,140,L
2016-02-03 15:56:00 UTC,8.6,262,H
2016-02-03 23:04:00 UTC,1.8,55,L
2016-02-04 05:31:00 UTC,6.6,201,H
2016-02-04 10:38:00 UTC,4.6,140,L
2016-02-04 16:52:00 UTC,8.9,271,H
2016-02-04 23:57:00 UTC,1.0,30,L
2016-02-05 06:28:00 UTC,7.1,216,H
2016-02-05 11:40:00 UTC,4.4,134,L
2016-02-05 17:45:00 UTC,9.3,283,H
2016-02-06 00:44:00 UTC,0.3,9,L
2016-02-06 07:15:00 UTC,7.6,232,H
2016-02-06 12:34:00 UTC,4.0,122,L
2016-02-06 18:34:00 UTC,9.7,296,H
2016-02-07 01:27:00 UTC,-0.4,-12,L
2016-02-07 07:57:00 UTC,8.1,247,H
2016-02-07 13:23:00 UTC,3.4,104,L
2016-02-07 19:21:00 UTC,10.1,308,H
2016-02-08 02:08:00 UTC,-0.9,-27,L
2016-02-08 08:36:00 UTC,8.6,262,H
2016-02-08 14:10:00 UTC,2.8,85,L
2016-02-08 20:06:00 UTC,10.3,314,H
2016-02-09 02:48:00 UTC,-1.2,-37,L
2016-02-09 09:14:00 UTC,9.0,274,H
2016-02-09 14:56:00 UTC,2.3,70,L
2016-02-09 20:52:00 UTC,10.3,314,H
2016-02-10 03:28:00 UTC,-1.1,-34,L
2016-02-10 09:52:00 UTC,9.3,283,H
2016-02-10 15:43:00 UTC,1.8,55,L
2016-02-10 21:39:00 UTC,10.1,308,H
2016-02-11 04:08:00 UTC,-0.8,-24,L
2016-02-11 10:31:00 UTC,9.6,293,H
2016-02-11 16:31:00 UTC,1.5,46,L
2016-02-11 22:29:00 UTC,9.6,293,H
2016-02-12 04:50:00 UTC,-0.2,-6,L
