time,feet,centimeters,tide
2016-01-01 04:31:00 UTC,0.5,15,H
2016-01-01 15:37:00 UTC,0.1,3,L
2016-01-02 01:29:00 UTC,0.5,15,H
2016-01-02 15:22:00 UTC,0.1,3,L
2016-01-03 01:20:00 UTC,0.6,18,H
2016-01-03 15:08:00 UTC,0.0,0,L
2016-01-04 01:21:00 UTC,0.7,21,H
2016-01-04 13:00:00 UTC,-0.1,-3,L
2016-01-05 01:23:00 UTC,0.7,21,H
2016-01-05 13:14:00 UTC,-0.2,-6,L
2016-01-06 01:49:00 UTC,0.8,24,H
2016-01-06 13:39:00 UTC,-0.3,-9,L
2016-01-07 02:29:00 UTC,0.9,27,H
2016-01-07 14:14:00 UTC,-0.4,-12,L
2016-01-08 03:12:00 UTC,1.0,30,H
2016-01-08 14:58:00 UTC,-0.4,-12,L
2016-01-09 03:57:00 UTC,1.0,30,H
2016-01-09 15:46:00 UTC,-0.5,-15,L
2016-01-10 04:43:00 UTC,1.0,30,H
2016-01-10 16:35:00 UTC,-0.5,-15,L
2016-01-11 05:28:00 UTC,1.0,30,H
2016-01-11 17:20:00 UTC,-0.4,-12,L
2016-01-12 06:11:00 UTC,0.9,27,H
2016-01-12 17:58:00 UTC,-0.3,-9,L
2016-01-13 06:49:00 UTC,0.8,24,H
2016-01-13 18:19:00 UTC,-0.2,-6,L
2016-01-14 07:17:00 UTC,0.6,18,H
2016-01-14 17:36:00 UTC,0.0,0,L
2016-01-15 07:35:00 UTC,0.4,12,H
2016-01-15 15:53:00 UTC,0.1,3,L
2016-01-15 23:52:00 UTC,0.3,9,H
2016-01-16 14:57:00 UTC,0.1,3,L
2016-01-16 23:44:00 UTC,0.5,15,H
2016-01-17 11:49:00 UTC,0.0,0,L
2016-01-17 23:38:00 UTC,0.7,21,H
2016-01-18 12:11:00 UTC,-0.2,-6,L
2016-01-19 00:12:00 UTC,0.8,24,H
2016-01-19 12:47:00 UTC,-0.3,-9,L
2016-01-20 01:03:00 UTC,0.9,27,H
2016-01-20 13:27:00 UTC,-0.4,-12,L
2016-01-21 02:00:00 UTC,1.0,30,H
2016-01-21 14:11:00 UTC,-0.5,-15,L
2016-01-22 02:56:00 UTC,1.0,30,H
2016-01-22 14:57:00 UTC,-0.5,-15,L
2016-01-23 03:48:00 UTC,1.0,30,H
2016-01-23 15:43:00 UTC,-0.5,-15,L
2016-01-24 04:33:00 UTC,0.9,27,H
2016-01-24 16:27:00 UTC,-0.4,-12,L
2016-01-25 05:08:00 UTC,0.8,24,H
2016-01-25 17:07:00 UTC,-0.3,-9,L
2016-01-26 05:33:00 UTC,0.7,21,H
2016-01-26 17:37:00 UTC,-0.2,-6,L
2016-01-27 05:54:00 UTC,0.6,18,H
2016-01-27 17:07:00 UTC,-0.1,-3,L
2016-01-28 06:16:00 UTC,0.5,15,H
2016-01-28 15:47:00 UTC,0.0,0,L
2016-01-29 06:37:00 UTC,0.4,12,H
2016-01-29 14:11:00 UTC,0.0,0,L
2016-01-29 23:15:00 UTC,0.4,12,H
2016-01-30 14:12:00 UTC,0.0,0,L
2016-01-30 23:10:00 UTC,0.5,15,H
2016-01-31 14:17:00 UTC,0.0,0,L
2016-01-31 23:00:00 UTC,0.6,18,H
2016-02-01 12:01:00 UTC,-0.1,-3,L
2016-02-01 23:23:00 UTC,0.7,21,H
2016-02-02 12:12:00 UTC,-0.2,-6,L
2016-02-03 00:09:00 UTC,0.7,21,H
2016-02-03 12:39:00 UTC,-0.3,-9,L
2016-02-04 01:07:00 UTC,0.8,24,H
2016-02-04 13:14:00 UTC,-0.4,-12,L
2016-02-05 02:12:00 UTC,0.9,27,H
2016-02-05 13:55:00 UTC,-0.4,-12,L
2016-02-06 03:16:00 UTC,0.9,27,H
2016-02-06 14:41:00 UTC,-0.5,-15,L
2016-02-07 04:17:00 UTC,0.9,27,H
2016-02-07 15:28:00 UTC,-0.5,-15,L
2016-02-08 05:18:00 UTC,0.9,27,H
2016-02-08 16:15:00 UTC,-0.4,-12,L
2016-02-09 06:20:00 UTC,0.8,24,H
2016-02-09 16:59:00 UTC,-0.3,-9,L
2016-02-10 07:23:00 UTC,0.7,21,H
2016-02-10 17:34:00 UTC,-0.1,-3,L
2016-02-11 08:26:00 UTC,0.5,15,H
2016-02-11 16:25:00 UTC,0.1,3,L
2016-02-11 22:02:00 UTC,0.2,6,H
2016-02-12 00:42:00 UTC,0.2,6,L
2016-02-12 09:33:00 UTC,0.4,12,H
2016-02-12 14:00:00 UTC,0.2,6,L
2016-02-12 21:59:00 UTC,0.4,12,H
2016-02-13 08:13:00 UTC,0.2,6,L
2016-02-13 10:53:00 UTC,0.2,6,H
2016-02-13 13:28:00 UTC,0.1,3,L
2016-02-13 21:47:00 UTC,0.6,18,H
