time,feet,centimeters,tide
2016-01-01 02:58:00 UTC,7.1,216,H
2016-01-01 09:18:00 UTC,1.5,46,L
2016-01-01 16:04:00 UTC,7.8,238,H
2016-01-01 22:17:00 UTC,3.3,101,L
2016-01-02 03:59:00 UTC,6.4,195,H
2016-01-02 10:03:00 UTC,2.3,70,L
2016-01-02 16:52:00 UTC,7.8,238,H
2016-01-02 23:30:00 UTC,3.1,94,L
2016-01-03 05:11:00 UTC,5.9,180,H
2016-01-03 10:56:00 UTC,2.9,88,L
2016-01-03 17:42:00 UTC,7.9,241,H
2016-01-04 00:42:00 UTC,2.6,79,L
2016-01-04 06:28:00 UTC,5.7,174,H
2016-01-04 11:59:00 UTC,3.4,104,L
2016-01-04 18:33:00 UTC,8.0,244,H
2016-01-05 01:43:00 UTC,1.9,58,L
2016-01-05 07:43:00 UTC,5.9,180,H
2016-01-05 13:03:00 UTC,3.7,113,L
2016-01-05 19:23:00 UTC,8.3,253,H
2016-01-06 02:34:00 UTC,1.1,34,L
2016-01-06 08:47:00 UTC,6.3,192,H
2016-01-06 14:01:00 UTC,3.7,113,L
2016-01-06 20:12:00 UTC,8.7,265,H
2016-01-07 03:16:00 UTC,0.4,12,L
2016-01-07 09:37:00 UTC,6.8,207,H
2016-01-07 14:52:00 UTC,3.6,110,L
2016-01-07 20:57:00 UTC,9.1,277,H
2016-01-08 03:55:00 UTC,-0.3,-9,L
2016-01-08 10:20:00 UTC,7.3,223,H
2016-01-08 15:37:00 UTC,3.4,104,L
2016-01-08 21:39:00 UTC,9.6,293,H
2016-01-09 04:33:00 UTC,-0.9,-27,L
2016-01-09 10:59:00 UTC,7.8,238,H
2016-01-09 16:20:00 UTC,3.2,98,L
2016-01-09 22:19:00 UTC,9.9,302,H
2016-01-10 05:10:00 UTC,-1.4,-43,L
2016-01-10 11:37:00 UTC,8.2,250,H
2016-01-10 17:02:00 UTC,2.9,88,L
2016-01-10 23:00:00 UTC,10.1,308,H
2016-01-11 05:48:00 UTC,-1.6,-49,L
2016-01-11 12:15:00 UTC,8.5,259,H
2016-01-11 17:44:00 UTC,2.7,82,L
2016-01-11 23:41:00 UTC,10.1,308,H
2016-01-12 06:26:00 UTC,-1.6,-49,L
2016-01-12 12:54:00 UTC,8.7,265,H
2016-01-12 18:29:00 UTC,2.4,73,L
2016-01-13 00:25:00 UTC,9.9,302,H
2016-01-13 07:04:00 UTC,-1.4,-43,L
2016-01-13 13:34:00 UTC,8.9,271,H
2016-01-13 19:16:00 UTC,2.2,67,L
2016-01-14 01:12:00 UTC,9.4,287,H
2016-01-14 07:44:00 UTC,-0.8,-24,L
2016-01-14 14:16:00 UTC,9.0,274,H
2016-01-14 20:07:00 UTC,2.1,64,L
2016-01-15 02:03:00 UTC,8.7,265,H
