time,feet,centimeters,tide
2016-01-01 03:02:00 UTC,5.7,174,H
2016-01-01 09:30:00 UTC,1.3,40,L
2016-01-01 16:24:00 UTC,6.6,201,H
2016-01-01 22:42:00 UTC,3.1,94,L
2016-01-02 04:06:00 UTC,5.1,155,H
2016-01-02 10:14:00 UTC,2.0,61,L
2016-01-02 17:14:00 UTC,6.6,201,H
2016-01-02 23:57:00 UTC,2.7,82,L
2016-01-03 05:31:00 UTC,4.7,143,H
2016-01-03 11:09:00 UTC,2.5,76,L
2016-01-03 18:04:00 UTC,6.8,207,H
2016-01-04 01:04:00 UTC,2.1,64,L
2016-01-04 06:53:00 UTC,4.6,140,H
2016-01-04 12:11:00 UTC,2.9,88,L
2016-01-04 18:53:00 UTC,7.0,213,H
2016-01-05 02:01:00 UTC,1.5,46,L
2016-01-05 08:05:00 UTC,4.8,146,H
2016-01-05 13:13:00 UTC,3.2,98,L
2016-01-05 19:40:00 UTC,7.3,223,H
2016-01-06 02:50:00 UTC,0.8,24,L
2016-01-06 09:07:00 UTC,5.2,158,H
2016-01-06 14:10:00 UTC,3.2,98,L
2016-01-06 20:26:00 UTC,7.7,235,H
2016-01-07 03:33:00 UTC,0.1,3,L
2016-01-07 09:56:00 UTC,5.7,174,H
2016-01-07 15:02:00 UTC,3.2,98,L
2016-01-07 21:09:00 UTC,8.0,244,H
2016-01-08 04:12:00 UTC,-0.6,-18,L
2016-01-08 10:38:00 UTC,6.1,186,H
2016-01-08 15:48:00 UTC,3.1,94,L
2016-01-08 21:49:00 UTC,8.3,253,H
2016-01-09 04:48:00 UTC,-1.1,-34,L
2016-01-09 11:17:00 UTC,6.5,198,H
2016-01-09 16:30:00 UTC,2.9,88,L
2016-01-09 22:28:00 UTC,8.6,262,H
2016-01-10 05:24:00 UTC,-1.4,-43,L
2016-01-10 11:55:00 UTC,6.8,207,H
2016-01-10 17:11:00 UTC,2.7,82,L
2016-01-10 23:07:00 UTC,8.7,265,H
2016-01-11 06:01:00 UTC,-1.5,-46,L
2016-01-11 12:33:00 UTC,7.0,213,H
2016-01-11 17:52:00 UTC,2.6,79,L
2016-01-11 23:47:00 UTC,8.6,262,H
2016-01-12 06:38:00 UTC,-1.5,-46,L
2016-01-12 13:12:00 UTC,7.2,219,H
2016-01-12 18:37:00 UTC,2.4,73,L
2016-01-13 00:30:00 UTC,8.3,253,H
2016-01-13 07:16:00 UTC,-1.2,-37,L
2016-01-13 13:52:00 UTC,7.4,226,H
2016-01-13 19:26:00 UTC,2.3,70,L
2016-01-14 01:16:00 UTC,7.8,238,H
2016-01-14 07:55:00 UTC,-0.7,-21,L
2016-01-14 14:33:00 UTC,7.5,229,H
2016-01-14 20:21:00 UTC,2.1,64,L
2016-01-15 02:09:00 UTC,7.2,219,H
2016-01-15 08:37:00 UTC,0.0,0,L
2016-01-15 15:17:00 UTC,7.6,232,H
2016-01-15 21:23:00 UTC,2.0,61,L
2016-01-16 03:10:00 UTC,6.4,195,H
2016-01-16 09:22:00 UTC,0.8,24,L
2016-01-16 16:06:00 UTC,7.6,232,H
2016-01-16 22:36:00 UTC,1.7,52,L
2016-01-17 04:26:00 UTC,5.6,171,H
2016-01-17 10:15:00 UTC,1.6,49,L
2016-01-17 17:03:00 UTC,7.7,235,H
2016-01-17 23:56:00 UTC,1.3,40,L
2016-01-18 05:56:00 UTC,5.2,158,H
2016-01-18 11:22:00 UTC,2.3,70,L
2016-01-18 18:05:00 UTC,7.9,241,H
2016-01-19 01:12:00 UTC,0.7,21,L
2016-01-19 07:22:00 UTC,5.2,158,H
2016-01-19 12:36:00 UTC,2.8,85,L
2016-01-19 19:06:00 UTC,8.1,247,H
2016-01-20 02:19:00 UTC,0.0,0,L
2016-01-20 08:40:00 UTC,5.5,168,H
2016-01-20 13:48:00 UTC,3.0,91,L
2016-01-20 20:05:00 UTC,8.4,256,H
2016-01-21 03:16:00 UTC,-0.6,-18,L
2016-01-21 09:43:00 UTC,5.9,180,H
2016-01-21 14:54:00 UTC,2.9,88,L
2016-01-21 21:00:00 UTC,8.6,262,H
2016-01-22 04:06:00 UTC,-1.1,-34,L
2016-01-22 10:32:00 UTC,6.4,195,H
2016-01-22 15:50:00 UTC,2.8,85,L
2016-01-22 21:50:00 UTC,8.7,265,H
2016-01-23 04:49:00 UTC,-1.4,-43,L
2016-01-23 11:15:00 UTC,6.7,204,H
2016-01-23 16:38:00 UTC,2.6,79,L
2016-01-23 22:35:00 UTC,8.7,265,H
2016-01-24 05:28:00 UTC,-1.4,-43,L
2016-01-24 11:53:00 UTC,6.9,210,H
2016-01-24 17:22:00 UTC,2.4,73,L
2016-01-24 23:17:00 UTC,8.5,259,H
2016-01-25 06:04:00 UTC,-1.2,-37,L
2016-01-25 12:30:00 UTC,7.1,216,H
2016-01-25 18:03:00 UTC,2.3,70,L
2016-01-25 23:57:00 UTC,8.2,250,H
2016-01-26 06:39:00 UTC,-0.9,-27,L
2016-01-26 13:06:00 UTC,7.1,216,H
2016-01-26 18:43:00 UTC,2.3,70,L
2016-01-27 00:35:00 UTC,7.7,235,H
2016-01-27 07:12:00 UTC,-0.4,-12,L
