time,feet,centimeters,tide
2016-01-01 02:17:00 UTC,0.3,9,L
2016-01-01 08:31:00 UTC,10.0,305,H
2016-01-01 14:40:00 UTC,0.9,27,L
2016-01-01 20:48:00 UTC,9.6,293,H
2016-01-02 03:01:00 UTC,0.8,24,L
2016-01-02 09:16:00 UTC,9.7,296,H
2016-01-02 15:30:00 UTC,1.2,37,L
2016-01-02 21:39:00 UTC,9.1,277,H
2016-01-03 03:48:00 UTC,1.4,43,L
2016-01-03 10:05:00 UTC,9.4,287,H
2016-01-03 16:23:00 UTC,1.5,46,L
2016-01-03 22:35:00 UTC,8.7,265,H
2016-01-04 04:39:00 UTC,1.8,55,L
2016-01-04 10:59:00 UTC,9.2,280,H
2016-01-04 17:21:00 UTC,1.6,49,L
2016-01-04 23:37:00 UTC,8.4,256,H
2016-01-05 05:35:00 UTC,2.0,61,L
2016-01-05 11:55:00 UTC,9.2,280,H
2016-01-05 18:21:00 UTC,1.4,43,L
2016-01-06 00:38:00 UTC,8.5,259,H
2016-01-06 06:32:00 UTC,2.0,61,L
2016-01-06 12:50:00 UTC,9.4,287,H
2016-01-06 19:16:00 UTC,1.1,34,L
2016-01-07 01:33:00 UTC,8.7,265,H
2016-01-07 07:25:00 UTC,1.8,55,L
2016-01-07 13:40:00 UTC,9.8,299,H
2016-01-07 20:05:00 UTC,0.7,21,L
2016-01-08 02:21:00 UTC,9.1,277,H
2016-01-08 08:14:00 UTC,1.4,43,L
2016-01-08 14:26:00 UTC,10.3,314,H
2016-01-08 20:49:00 UTC,0.1,3,L
2016-01-09 03:04:00 UTC,9.6,293,H
2016-01-09 08:58:00 UTC,1.0,30,L
2016-01-09 15:08:00 UTC,10.8,329,H
2016-01-09 21:30:00 UTC,-0.4,-12,L
2016-01-10 03:45:00 UTC,10.1,308,H
2016-01-10 09:40:00 UTC,0.4,12,L
2016-01-10 15:49:00 UTC,11.3,344,H
2016-01-10 22:10:00 UTC,-1.0,-30,L
2016-01-11 04:24:00 UTC,10.6,323,H
2016-01-11 10:22:00 UTC,-0.1,-3,L
2016-01-11 16:30:00 UTC,11.8,360,H
2016-01-11 22:50:00 UTC,-1.4,-43,L
2016-01-12 05:03:00 UTC,11.1,338,H
2016-01-12 11:04:00 UTC,-0.6,-18,L
2016-01-12 17:12:00 UTC,12.1,369,H
2016-01-12 23:32:00 UTC,-1.7,-52,L
2016-01-13 05:44:00 UTC,11.5,351,H
2016-01-13 11:48:00 UTC,-0.9,-27,L
2016-01-13 17:56:00 UTC,12.2,372,H
2016-01-14 00:14:00 UTC,-1.8,-55,L
2016-01-14 06:26:00 UTC,11.7,357,H
2016-01-14 12:35:00 UTC,-1.1,-34,L
2016-01-14 18:43:00 UTC,12.0,366,H
2016-01-15 00:59:00 UTC,-1.6,-49,L
2016-01-15 07:12:00 UTC,11.8,360,H
2016-01-15 13:24:00 UTC,-1.0,-30,L
2016-01-15 19:32:00 UTC,11.6,354,H
2016-01-16 01:47:00 UTC,-1.2,-37,L
2016-01-16 08:00:00 UTC,11.6,354,H
2016-01-16 14:17:00 UTC,-0.8,-24,L
2016-01-16 20:26:00 UTC,11.0,335,H
2016-01-17 02:39:00 UTC,-0.6,-18,L
2016-01-17 08:54:00 UTC,11.3,344,H
2016-01-17 15:16:00 UTC,-0.4,-12,L
2016-01-17 21:26:00 UTC,10.3,314,H
2016-01-18 03:36:00 UTC,0.0,0,L
2016-01-18 09:55:00 UTC,10.9,332,H
2016-01-18 16:22:00 UTC,0.0,0,L
2016-01-18 22:36:00 UTC,9.8,299,H
2016-01-19 04:41:00 UTC,0.6,18,L
2016-01-19 11:04:00 UTC,10.6,323,H
2016-01-19 17:34:00 UTC,0.1,3,L
2016-01-19 23:52:00 UTC,9.5,290,H
