time,feet,centimeters,tide
2015-12-31 09:12:00 UTC,1.9,58,H
2015-12-31 15:55:00 UTC,0.2,6,L
2015-12-31 21:24:00 UTC,1.9,58,H
2016-01-01 04:25:00 UTC,0.1,3,L
2016-01-01 10:04:00 UTC,1.8,55,H
2016-01-01 16:51:00 UTC,0.3,9,L
2016-01-01 22:13:00 UTC,1.8,55,H
2016-01-02 05:14:00 UTC,0.1,3,L
2016-01-02 10:56:00 UTC,1.8,55,H
2016-01-02 17:48:00 UTC,0.3,9,L
2016-01-02 23:03:00 UTC,1.7,52,H
2016-01-03 06:01:00 UTC,0.1,3,L
2016-01-03 11:51:00 UTC,1.8,55,H
2016-01-03 18:46:00 UTC,0.3,9,L
2016-01-03 23:57:00 UTC,1.6,49,H
2016-01-04 06:50:00 UTC,0.1,3,L
2016-01-04 12:47:00 UTC,1.9,58,H
2016-01-04 19:43:00 UTC,0.3,9,L
2016-01-05 00:54:00 UTC,1.6,49,H
2016-01-05 07:39:00 UTC,0.1,3,L
2016-01-05 13:40:00 UTC,2.0,61,H
2016-01-05 20:35:00 UTC,0.2,6,L
2016-01-06 01:49:00 UTC,1.6,49,H
2016-01-06 08:27:00 UTC,0.0,0,L
2016-01-06 14:29:00 UTC,2.1,64,H
2016-01-06 21:22:00 UTC,0.1,3,L
2016-01-07 02:41:00 UTC,1.7,52,H
2016-01-07 09:14:00 UTC,-0.1,-3,L
2016-01-07 15:15:00 UTC,2.2,67,H
2016-01-07 22:07:00 UTC,0.0,0,L
2016-01-08 03:29:00 UTC,1.8,55,H
2016-01-08 09:59:00 UTC,-0.2,-6,L
2016-01-08 15:58:00 UTC,2.4,73,H
2016-01-08 22:49:00 UTC,-0.1,-3,L
2016-01-09 04:14:00 UTC,1.9,58,H
2016-01-09 10:44:00 UTC,-0.3,-9,L
2016-01-09 16:41:00 UTC,2.5,76,H
2016-01-09 23:32:00 UTC,-0.2,-6,L
2016-01-10 04:58:00 UTC,1.9,58,H
2016-01-10 11:29:00 UTC,-0.3,-9,L
2016-01-10 17:23:00 UTC,2.5,76,H
2016-01-11 00:14:00 UTC,-0.3,-9,L
2016-01-11 05:42:00 UTC,2.0,61,H
2016-01-11 12:15:00 UTC,-0.4,-12,L
2016-01-11 18:06:00 UTC,2.5,76,H
2016-01-12 00:58:00 UTC,-0.4,-12,L
2016-01-12 06:28:00 UTC,2.1,64,H
2016-01-12 13:03:00 UTC,-0.4,-12,L
2016-01-12 18:50:00 UTC,2.5,76,H
2016-01-13 01:43:00 UTC,-0.4,-12,L
2016-01-13 07:15:00 UTC,2.1,64,H
2016-01-13 13:53:00 UTC,-0.4,-12,L
2016-01-13 19:35:00 UTC,2.5,76,H
2016-01-14 02:30:00 UTC,-0.4,-12,L
2016-01-14 08:05:00 UTC,2.2,67,H
2016-01-14 14:46:00 UTC,-0.3,-9,L
2016-01-14 20:24:00 UTC,2.3,70,H
2016-01-15 03:20:00 UTC,-0.4,-12,L
2016-01-15 08:58:00 UTC,2.2,67,H
2016-01-15 15:44:00 UTC,-0.2,-6,L
2016-01-15 21:15:00 UTC,2.2,67,H
2016-01-16 04:14:00 UTC,-0.3,-9,L
2016-01-16 09:56:00 UTC,2.2,67,H
2016-01-16 16:47:00 UTC,-0.1,-3,L
2016-01-16 22:12:00 UTC,2.1,64,H
2016-01-17 05:11:00 UTC,-0.3,-9,L
2016-01-17 11:00:00 UTC,2.2,67,H
2016-01-17 17:56:00 UTC,0.0,0,L
2016-01-17 23:15:00 UTC,1.9,58,H
2016-01-18 06:12:00 UTC,-0.3,-9,L
2016-01-18 12:08:00 UTC,2.2,67,H
2016-01-18 19:06:00 UTC,0.0,0,L
2016-01-19 00:24:00 UTC,1.8,55,H
2016-01-19 07:15:00 UTC,-0.3,-9,L
2016-01-19 13:17:00 UTC,2.3,70,H
2016-01-19 20:14:00 UTC,-0.1,-3,L
2016-01-20 01:35:00 UTC,1.8,55,H
2016-01-20 08:17:00 UTC,-0.3,-9,L
2016-01-20 14:21:00 UTC,2.4,73,H
2016-01-20 21:16:00 UTC,-0.1,-3,L
2016-01-21 02:41:00 UTC,1.9,58,H
2016-01-21 09:15:00 UTC,-0.3,-9,L
2016-01-21 15:19:00 UTC,2.5,76,H
2016-01-21 22:12:00 UTC,-0.2,-6,L
2016-01-22 03:39:00 UTC,1.9,58,H
2016-01-22 10:10:00 UTC,-0.4,-12,L
2016-01-22 16:10:00 UTC,2.5,76,H
2016-01-22 23:02:00 UTC,-0.3,-9,L
2016-01-23 04:29:00 UTC,2.0,61,H
2016-01-23 11:00:00 UTC,-0.4,-12,L
2016-01-23 16:56:00 UTC,2.5,76,H
2016-01-23 23:48:00 UTC,-0.3,-9,L
2016-01-24 05:15:00 UTC,2.0,61,H
2016-01-24 11:46:00 UTC,-0.4,-12,L
2016-01-24 17:39:00 UTC,2.5,76,H
2016-01-25 00:30:00 UTC,-0.3,-9,L
2016-01-25 05:57:00 UTC,2.0,61,H
2016-01-25 12:30:00 UTC,-0.3,-9,L
2016-01-25 18:18:00 UTC,2.4,73,H
2016-01-26 01:10:00 UTC,-0.2,-6,L
2016-01-26 06:37:00 UTC,2.0,61,H
2016-01-26 13:12:00 UTC,-0.2,-6,L
2016-01-26 18:56:00 UTC,2.3,70,H
2016-01-27 01:47:00 UTC,-0.2,-6,L
2016-01-27 07:15:00 UTC,2.0,61,H
2016-01-27 13:53:00 UTC,-0.1,-3,L
2016-01-27 19:32:00 UTC,2.2,67,H
2016-01-28 02:24:00 UTC,-0.1,-3,L
2016-01-28 07:54:00 UTC,2.0,61,H
2016-01-28 14:34:00 UTC,0.0,0,L
2016-01-28 20:08:00 UTC,2.1,64,H
2016-01-29 03:00:00 UTC,0.0,0,L
2016-01-29 08:34:00 UTC,1.9,58,H
2016-01-29 15:17:00 UTC,0.1,3,L
2016-01-29 20:46:00 UTC,1.9,58,H
2016-01-30 03:38:00 UTC,0.0,0,L
2016-01-30 09:16:00 UTC,1.9,58,H
2016-01-30 16:03:00 UTC,0.2,6,L
2016-01-30 21:27:00 UTC,1.8,55,H
2016-01-31 04:19:00 UTC,0.1,3,L
2016-01-31 10:02:00 UTC,1.9,58,H
2016-01-31 16:53:00 UTC,0.3,9,L
2016-01-31 22:12:00 UTC,1.7,52,H
2016-02-01 05:05:00 UTC,0.1,3,L
2016-02-01 10:53:00 UTC,1.9,58,H
2016-02-01 17:49:00 UTC,0.3,9,L
2016-02-01 23:03:00 UTC,1.6,49,H
2016-02-02 05:55:00 UTC,0.1,3,L
2016-02-02 11:48:00 UTC,1.9,58,H
2016-02-02 18:47:00 UTC,0.3,9,L
2016-02-03 00:00:00 UTC,1.6,49,H
2016-02-03 06:50:00 UTC,0.1,3,L
2016-02-03 12:47:00 UTC,1.9,58,H
2016-02-03 19:46:00 UTC,0.3,9,L
2016-02-04 01:00:00 UTC,1.6,49,H
2016-02-04 07:45:00 UTC,0.1,3,L
2016-02-04 13:45:00 UTC,2.0,61,H
2016-02-04 20:41:00 UTC,0.2,6,L
2016-02-05 02:00:00 UTC,1.7,52,H
2016-02-05 08:39:00 UTC,0.0,0,L
2016-02-05 14:39:00 UTC,2.2,67,H
2016-02-05 21:31:00 UTC,0.0,0,L
2016-02-06 02:55:00 UTC,1.8,55,H
2016-02-06 09:31:00 UTC,-0.2,-6,L
2016-02-06 15:29:00 UTC,2.3,70,H
2016-02-06 22:19:00 UTC,-0.1,-3,L
2016-02-07 03:46:00 UTC,1.9,58,H
2016-02-07 10:21:00 UTC,-0.3,-9,L
2016-02-07 16:16:00 UTC,2.5,76,H
2016-02-07 23:05:00 UTC,-0.2,-6,L
2016-02-08 04:34:00 UTC,2.1,64,H
2016-02-08 11:10:00 UTC,-0.4,-12,L
2016-02-08 17:02:00 UTC,2.6,79,H
2016-02-08 23:50:00 UTC,-0.4,-12,L
2016-02-09 05:22:00 UTC,2.3,70,H
2016-02-09 11:59:00 UTC,-0.5,-15,L
2016-02-09 17:47:00 UTC,2.6,79,H
2016-02-10 00:35:00 UTC,-0.5,-15,L
2016-02-10 06:09:00 UTC,2.4,73,H
2016-02-10 12:49:00 UTC,-0.5,-15,L
