time,feet,centimeters,tide
2016-01-01 00:27:00 UTC,11.3,344,H
2016-01-01 07:02:00 UTC,2.4,73,L
2016-01-01 12:52:00 UTC,7.9,241,H
2016-01-01 18:35:00 UTC,2.5,76,L
2016-01-02 01:03:00 UTC,10.9,332,H
2016-01-02 07:48:00 UTC,2.0,61,L
2016-01-02 13:54:00 UTC,8.1,247,H
2016-01-02 19:25:00 UTC,3.4,104,L
2016-01-03 01:37:00 UTC,10.4,317,H
2016-01-03 08:31:00 UTC,1.5,46,L
2016-01-03 14:54:00 UTC,8.3,253,H
2016-01-03 20:17:00 UTC,4.3,131,L
2016-01-04 02:09:00 UTC,10.0,305,H
2016-01-04 09:12:00 UTC,1.1,34,L
2016-01-04 15:52:00 UTC,8.7,265,H
2016-01-04 21:09:00 UTC,5.1,155,L
2016-01-05 02:39:00 UTC,9.5,290,H
2016-01-05 09:50:00 UTC,0.8,24,L
2016-01-05 16:46:00 UTC,9.0,274,H
2016-01-05 22:01:00 UTC,5.7,174,L
2016-01-06 03:06:00 UTC,9.2,280,H
2016-01-06 10:26:00 UTC,0.5,15,L
2016-01-06 17:37:00 UTC,9.3,283,H
2016-01-06 22:51:00 UTC,6.2,189,L
2016-01-07 03:30:00 UTC,8.9,271,H
2016-01-07 11:01:00 UTC,0.2,6,L
2016-01-07 18:25:00 UTC,9.7,296,H
2016-01-07 23:41:00 UTC,6.5,198,L
2016-01-08 03:56:00 UTC,8.8,268,H
2016-01-08 11:35:00 UTC,0.0,0,L
2016-01-08 19:11:00 UTC,10.0,305,H
2016-01-09 00:30:00 UTC,6.6,201,L
2016-01-09 04:29:00 UTC,8.6,262,H
2016-01-09 12:13:00 UTC,-0.3,-9,L
2016-01-09 19:53:00 UTC,10.3,314,H
2016-01-10 01:19:00 UTC,6.5,198,L
2016-01-10 05:13:00 UTC,8.5,259,H
2016-01-10 12:54:00 UTC,-0.5,-15,L
2016-01-10 20:33:00 UTC,10.6,323,H
2016-01-11 02:08:00 UTC,6.2,189,L
2016-01-11 06:10:00 UTC,8.4,256,H
2016-01-11 13:39:00 UTC,-0.5,-15,L
2016-01-11 21:12:00 UTC,10.9,332,H
2016-01-12 02:58:00 UTC,5.6,171,L
2016-01-12 07:19:00 UTC,8.3,253,H
2016-01-12 14:27:00 UTC,-0.4,-12,L
2016-01-12 21:50:00 UTC,11.1,338,H
2016-01-13 03:48:00 UTC,4.8,146,L
2016-01-13 08:35:00 UTC,8.2,250,H
2016-01-13 15:18:00 UTC,-0.1,-3,L
2016-01-13 22:29:00 UTC,11.4,347,H
2016-01-14 04:39:00 UTC,3.8,116,L
2016-01-14 09:52:00 UTC,8.3,253,H
2016-01-14 16:12:00 UTC,0.5,15,L
2016-01-14 23:08:00 UTC,11.5,351,H
2016-01-15 05:30:00 UTC,2.7,82,L
2016-01-15 11:08:00 UTC,8.5,259,H
2016-01-15 17:09:00 UTC,1.2,37,L
2016-01-15 23:48:00 UTC,11.6,354,H
2016-01-16 06:21:00 UTC,1.6,49,L
2016-01-16 12:21:00 UTC,8.8,268,H
2016-01-16 18:08:00 UTC,2.0,61,L
2016-01-17 00:30:00 UTC,11.5,351,H
2016-01-17 07:13:00 UTC,0.5,15,L
2016-01-17 13:32:00 UTC,9.2,280,H
2016-01-17 19:08:00 UTC,2.8,85,L
2016-01-18 01:14:00 UTC,11.4,347,H
2016-01-18 08:05:00 UTC,-0.4,-12,L
2016-01-18 14:40:00 UTC,9.7,296,H
2016-01-18 20:10:00 UTC,3.6,110,L
2016-01-19 02:00:00 UTC,11.1,338,H
2016-01-19 08:58:00 UTC,-1.1,-34,L
2016-01-19 15:45:00 UTC,10.2,311,H
2016-01-19 21:14:00 UTC,4.2,128,L
2016-01-20 02:48:00 UTC,10.8,329,H
2016-01-20 09:51:00 UTC,-1.5,-46,L
2016-01-20 16:47:00 UTC,10.6,323,H
2016-01-20 22:16:00 UTC,4.6,140,L
2016-01-21 03:37:00 UTC,10.4,317,H
2016-01-21 10:43:00 UTC,-1.7,-52,L
2016-01-21 17:46:00 UTC,10.8,329,H
2016-01-21 23:17:00 UTC,4.9,149,L
2016-01-22 04:29:00 UTC,9.9,302,H
2016-01-22 11:34:00 UTC,-1.7,-52,L
2016-01-22 18:43:00 UTC,11.0,335,H
2016-01-23 00:17:00 UTC,5.0,152,L
2016-01-23 05:22:00 UTC,9.4,287,H
2016-01-23 12:25:00 UTC,-1.4,-43,L
2016-01-23 19:37:00 UTC,11.1,338,H
2016-01-24 01:16:00 UTC,4.9,149,L
2016-01-24 06:20:00 UTC,9.0,274,H
2016-01-24 13:15:00 UTC,-0.9,-27,L
2016-01-24 20:26:00 UTC,11.2,341,H
2016-01-25 02:13:00 UTC,4.7,143,L
2016-01-25 07:21:00 UTC,8.5,259,H
2016-01-25 14:03:00 UTC,-0.4,-12,L
2016-01-25 21:11:00 UTC,11.1,338,H
2016-01-26 03:07:00 UTC,4.3,131,L
2016-01-26 08:22:00 UTC,8.2,250,H
2016-01-26 14:51:00 UTC,0.2,6,L
2016-01-26 21:53:00 UTC,11.0,335,H
2016-01-27 04:00:00 UTC,3.9,119,L
2016-01-27 09:24:00 UTC,8.0,244,H
2016-01-27 15:39:00 UTC,0.9,27,L
2016-01-27 22:31:00 UTC,10.8,329,H
2016-01-28 04:50:00 UTC,3.4,104,L
2016-01-28 10:25:00 UTC,7.9,241,H
2016-01-28 16:27:00 UTC,1.7,52,L
2016-01-28 23:08:00 UTC,10.6,323,H
2016-01-29 05:37:00 UTC,2.9,88,L
2016-01-29 11:26:00 UTC,7.9,241,H
2016-01-29 17:16:00 UTC,2.4,73,L
2016-01-29 23:42:00 UTC,10.3,314,H
2016-01-30 06:21:00 UTC,2.3,70,L
2016-01-30 12:25:00 UTC,8.1,247,H
2016-01-30 18:04:00 UTC,3.2,98,L
2016-01-31 00:16:00 UTC,10.0,305,H
2016-01-31 07:03:00 UTC,1.9,58,L
2016-01-31 13:23:00 UTC,8.3,253,H
2016-01-31 18:53:00 UTC,4.0,122,L
2016-02-01 00:48:00 UTC,9.7,296,H
2016-02-01 07:44:00 UTC,1.4,43,L
2016-02-01 14:20:00 UTC,8.5,259,H
2016-02-01 19:43:00 UTC,4.7,143,L
2016-02-02 01:20:00 UTC,9.4,287,H
2016-02-02 08:24:00 UTC,1.1,34,L
2016-02-02 15:15:00 UTC,8.8,268,H
2016-02-02 20:34:00 UTC,5.3,162,L
2016-02-03 01:51:00 UTC,9.1,277,H
2016-02-03 09:03:00 UTC,0.7,21,L
2016-02-03 16:06:00 UTC,9.1,277,H
2016-02-03 21:25:00 UTC,5.7,174,L
2016-02-04 02:20:00 UTC,9.0,274,H
2016-02-04 09:41:00 UTC,0.4,12,L
2016-02-04 16:54:00 UTC,9.3,283,H
2016-02-04 22:13:00 UTC,6.0,183,L
2016-02-05 02:51:00 UTC,8.9,271,H
2016-02-05 10:18:00 UTC,0.1,3,L
2016-02-05 17:40:00 UTC,9.5,290,H
2016-02-05 23:00:00 UTC,6.2,189,L
2016-02-06 03:27:00 UTC,8.9,271,H
2016-02-06 10:57:00 UTC,-0.2,-6,L
2016-02-06 18:23:00 UTC,9.7,296,H
2016-02-06 23:47:00 UTC,6.1,186,L
2016-02-07 04:11:00 UTC,8.9,271,H
2016-02-07 11:39:00 UTC,-0.4,-12,L
2016-02-07 19:04:00 UTC,9.9,302,H
2016-02-08 00:35:00 UTC,5.8,177,L
2016-02-08 05:04:00 UTC,8.9,271,H
2016-02-08 12:25:00 UTC,-0.4,-12,L
2016-02-08 19:44:00 UTC,10.2,311,H
2016-02-09 01:24:00 UTC,5.2,158,L
2016-02-09 06:09:00 UTC,8.8,268,H
2016-02-09 13:15:00 UTC,-0.3,-9,L
2016-02-09 20:23:00 UTC,10.5,320,H
2016-02-10 02:15:00 UTC,4.4,134,L
2016-02-10 07:23:00 UTC,8.8,268,H
2016-02-10 14:07:00 UTC,0.0,0,L
2016-02-10 21:03:00 UTC,10.7,326,H
2016-02-11 03:08:00 UTC,3.4,104,L
2016-02-11 08:39:00 UTC,8.9,271,H
2016-02-11 15:02:00 UTC,0.4,12,L
2016-02-11 21:45:00 UTC,10.9,332,H
2016-02-12 04:02:00 UTC,2.3,70,L
2016-02-12 09:53:00 UTC,9.2,280,H
2016-02-12 16:00:00 UTC,1.1,34,L
2016-02-12 22:29:00 UTC,11.1,338,H
2016-02-13 04:57:00 UTC,1.2,37,L
2016-02-13 11:06:00 UTC,9.5,290,H
2016-02-13 17:00:00 UTC,1.8,55,L
2016-02-13 23:15:00 UTC,11.1,338,H
2016-02-14 05:52:00 UTC,0.2,6,L
2016-02-14 12:16:00 UTC,9.8,299,H
2016-02-14 18:01:00 UTC,2.4,73,L
2016-02-15 00:03:00 UTC,11.1,338,H
2016-02-15 06:47:00 UTC,-0.6,-18,L
2016-02-15 13:23:00 UTC,10.2,311,H
2016-02-15 19:03:00 UTC,3.1,94,L
2016-02-16 00:54:00 UTC,10.9,332,H
2016-02-16 07:43:00 UTC,-1.2,-37,L
2016-02-16 14:29:00 UTC,10.4,317,H
2016-02-16 20:05:00 UTC,3.6,110,L
2016-02-17 01:47:00 UTC,10.6,323,H
2016-02-17 08:39:00 UTC,-1.4,-43,L
2016-02-17 15:32:00 UTC,10.7,326,H
2016-02-17 21:08:00 UTC,3.9,119,L
2016-02-18 02:41:00 UTC,10.3,314,H
2016-02-18 09:35:00 UTC,-1.5,-46,L
2016-02-18 16:31:00 UTC,10.8,329,H
2016-02-18 22:09:00 UTC,4.2,128,L
2016-02-19 03:36:00 UTC,9.9,302,H
2016-02-19 10:28:00 UTC,-1.3,-40,L
2016-02-19 17:28:00 UTC,10.7,326,H
2016-02-19 23:07:00 UTC,4.2,128,L
2016-02-20 04:31:00 UTC,9.5,290,H
2016-02-20 11:20:00 UTC,-0.9,-27,L
2016-02-20 18:21:00 UTC,10.6,323,H
2016-02-21 00:04:00 UTC,4.2,128,L
2016-02-21 05:26:00 UTC,9.0,274,H
2016-02-21 12:10:00 UTC,-0.4,-12,L
2016-02-21 19:11:00 UTC,10.5,320,H
2016-02-22 00:58:00 UTC,4.1,125,L
2016-02-22 06:23:00 UTC,8.6,262,H
2016-02-22 12:59:00 UTC,0.2,6,L
2016-02-22 19:57:00 UTC,10.3,314,H
2016-02-23 01:50:00 UTC,3.9,119,L
2016-02-23 07:21:00 UTC,8.4,256,H
2016-02-23 13:46:00 UTC,0.8,24,L
2016-02-23 20:37:00 UTC,10.0,305,H
2016-02-24 02:38:00 UTC,3.7,113,L
2016-02-24 08:18:00 UTC,8.2,250,H
2016-02-24 14:32:00 UTC,1.4,43,L
2016-02-24 21:13:00 UTC,9.8,299,H
2016-02-25 03:25:00 UTC,3.3,101,L
2016-02-25 09:14:00 UTC,8.1,247,H
2016-02-25 15:17:00 UTC,2.1,64,L
2016-02-25 21:46:00 UTC,9.6,293,H
2016-02-26 04:09:00 UTC,2.9,88,L
2016-02-26 10:09:00 UTC,8.2,250,H
2016-02-26 16:04:00 UTC,2.7,82,L
2016-02-26 22:19:00 UTC,9.3,283,H
2016-02-27 04:51:00 UTC,2.5,76,L
2016-02-27 11:04:00 UTC,8.4,256,H
2016-02-27 16:51:00 UTC,3.3,101,L
2016-02-27 22:52:00 UTC,9.1,277,H
2016-02-28 05:32:00 UTC,2.0,61,L
2016-02-28 11:58:00 UTC,8.6,262,H
2016-02-28 17:40:00 UTC,3.8,116,L
2016-02-28 23:26:00 UTC,8.9,271,H
2016-02-29 06:12:00 UTC,1.7,52,L
2016-02-29 12:51:00 UTC,8.8,268,H
2016-02-29 18:28:00 UTC,4.3,131,L
2016-02-29 23:59:00 UTC,8.7,265,H
2016-03-01 06:51:00 UTC,1.3,40,L
2016-03-01 13:43:00 UTC,8.9,271,H
2016-03-01 19:16:00 UTC,4.8,146,L
2016-03-02 00:33:00 UTC,8.6,262,H
2016-03-02 07:31:00 UTC,1.0,30,L
2016-03-02 14:33:00 UTC,9.1,277,H
2016-03-02 20:05:00 UTC,5.1,155,L
2016-03-03 01:07:00 UTC,8.5,259,H
2016-03-03 08:11:00 UTC,0.7,21,L
2016-03-03 15:22:00 UTC,9.2,280,H
2016-03-03 20:52:00 UTC,5.4,165,L
2016-03-04 01:43:00 UTC,8.5,259,H
2016-03-04 08:52:00 UTC,0.5,15,L
2016-03-04 16:06:00 UTC,9.3,283,H
2016-03-04 21:38:00 UTC,5.4,165,L
2016-03-05 02:24:00 UTC,8.6,262,H
2016-03-05 09:36:00 UTC,0.3,9,L
2016-03-05 16:48:00 UTC,9.4,287,H
2016-03-05 22:23:00 UTC,5.3,162,L
2016-03-06 03:11:00 UTC,8.7,265,H
2016-03-06 10:21:00 UTC,0.1,3,L
2016-03-06 17:27:00 UTC,9.5,290,H
2016-03-06 23:08:00 UTC,4.9,149,L
2016-03-07 04:05:00 UTC,8.9,271,H
2016-03-07 11:08:00 UTC,0.1,3,L
2016-03-07 18:06:00 UTC,9.7,296,H
2016-03-07 23:55:00 UTC,4.3,131,L
2016-03-08 05:07:00 UTC,9.0,274,H
2016-03-08 12:00:00 UTC,0.2,6,L
2016-03-08 18:46:00 UTC,9.8,299,H
2016-03-09 00:45:00 UTC,3.5,107,L
2016-03-09 06:17:00 UTC,9.2,280,H
2016-03-09 12:54:00 UTC,0.5,15,L
2016-03-09 19:28:00 UTC,10.0,305,H
2016-03-10 01:38:00 UTC,2.5,76,L
2016-03-10 07:30:00 UTC,9.5,290,H
2016-03-10 13:50:00 UTC,0.9,27,L
2016-03-10 20:13:00 UTC,10.2,311,H
2016-03-11 02:32:00 UTC,1.4,43,L
2016-03-11 08:42:00 UTC,9.8,299,H
2016-03-11 14:49:00 UTC,1.3,40,L
2016-03-11 21:00:00 UTC,10.4,317,H
2016-03-12 03:28:00 UTC,0.4,12,L
2016-03-12 09:51:00 UTC,10.2,311,H
2016-03-12 15:50:00 UTC,1.9,58,L
2016-03-12 21:50:00 UTC,10.5,320,H
2016-03-13 04:25:00 UTC,-0.4,-12,L
2016-03-13 10:59:00 UTC,10.6,323,H
2016-03-13 16:52:00 UTC,2.3,70,L
2016-03-13 22:43:00 UTC,10.5,320,H
2016-03-14 05:23:00 UTC,-1.0,-30,L
2016-03-14 12:05:00 UTC,10.9,332,H
2016-03-14 17:54:00 UTC,2.7,82,L
2016-03-14 23:39:00 UTC,10.4,317,H
2016-03-15 06:21:00 UTC,-1.4,-43,L
2016-03-15 13:08:00 UTC,11.0,335,H
2016-03-15 18:56:00 UTC,3.0,91,L
2016-03-16 00:37:00 UTC,10.2,311,H
2016-03-16 07:19:00 UTC,-1.4,-43,L
2016-03-16 14:10:00 UTC,11.1,338,H
2016-03-16 19:57:00 UTC,3.2,98,L
2016-03-17 01:37:00 UTC,9.9,302,H
2016-03-17 08:17:00 UTC,-1.3,-40,L
2016-03-17 15:09:00 UTC,11.0,335,H
2016-03-17 20:59:00 UTC,3.3,101,L
2016-03-18 02:37:00 UTC,9.6,293,H
2016-03-18 09:14:00 UTC,-0.9,-27,L
2016-03-18 16:06:00 UTC,10.8,329,H
2016-03-18 21:58:00 UTC,3.3,101,L
2016-03-19 03:36:00 UTC,9.3,283,H
2016-03-19 10:09:00 UTC,-0.4,-12,L
2016-03-19 16:59:00 UTC,10.5,320,H
2016-03-19 22:54:00 UTC,3.2,98,L
