time,feet,centimeters,tide
2016-01-01 03:47:00 UTC,3.1,94,H
2016-01-01 10:45:00 UTC,0.5,15,L
2016-01-01 17:25:00 UTC,3.6,110,H
2016-01-01 23:48:00 UTC,1.4,43,L
2016-01-02 05:04:00 UTC,2.9,88,H
2016-01-02 11:27:00 UTC,0.7,21,L
2016-01-02 18:12:00 UTC,3.7,113,H
2016-01-03 00:56:00 UTC,1.2,37,L
2016-01-03 06:19:00 UTC,2.7,82,H
2016-01-03 12:12:00 UTC,0.9,27,L
2016-01-03 18:56:00 UTC,3.8,116,H
2016-01-04 01:59:00 UTC,0.9,27,L
2016-01-04 07:28:00 UTC,2.7,82,H
2016-01-04 12:57:00 UTC,1.1,34,L
2016-01-04 19:37:00 UTC,3.9,119,H
2016-01-05 02:57:00 UTC,0.7,21,L
2016-01-05 08:29:00 UTC,2.7,82,H
2016-01-05 13:43:00 UTC,1.3,40,L
2016-01-05 20:12:00 UTC,3.9,119,H
2016-01-06 03:48:00 UTC,0.5,15,L
2016-01-06 09:23:00 UTC,2.7,82,H
2016-01-06 14:29:00 UTC,1.4,43,L
2016-01-06 20:42:00 UTC,4.0,122,H
2016-01-07 04:34:00 UTC,0.3,9,L
2016-01-07 10:11:00 UTC,2.8,85,H
2016-01-07 15:15:00 UTC,1.5,46,L
2016-01-07 21:10:00 UTC,4.1,125,H
2016-01-08 05:16:00 UTC,0.2,6,L
2016-01-08 10:56:00 UTC,2.8,85,H
2016-01-08 16:01:00 UTC,1.5,46,L
2016-01-08 21:39:00 UTC,4.2,128,H
2016-01-09 05:55:00 UTC,0.1,3,L
2016-01-09 11:37:00 UTC,2.9,88,H
2016-01-09 16:48:00 UTC,1.6,49,L
2016-01-09 22:13:00 UTC,4.3,131,H
2016-01-10 06:32:00 UTC,0.0,0,L
2016-01-10 12:16:00 UTC,3.0,91,H
2016-01-10 17:35:00 UTC,1.5,46,L
2016-01-10 22:53:00 UTC,4.3,131,H
2016-01-11 07:08:00 UTC,0.0,0,L
2016-01-11 12:53:00 UTC,3.1,94,H
2016-01-11 18:23:00 UTC,1.4,43,L
2016-01-11 23:38:00 UTC,4.3,131,H
2016-01-12 07:44:00 UTC,0.0,0,L
2016-01-12 13:30:00 UTC,3.2,98,H
2016-01-12 19:13:00 UTC,1.4,43,L
2016-01-13 00:27:00 UTC,4.2,128,H
2016-01-13 08:21:00 UTC,0.1,3,L
2016-01-13 14:10:00 UTC,3.4,104,H
2016-01-13 20:07:00 UTC,1.3,40,L
2016-01-14 01:21:00 UTC,4.0,122,H
2016-01-14 09:01:00 UTC,0.2,6,L
2016-01-14 14:53:00 UTC,3.6,110,H
2016-01-14 21:08:00 UTC,1.3,40,L
2016-01-15 02:22:00 UTC,3.7,113,H
2016-01-15 09:44:00 UTC,0.3,9,L
2016-01-15 15:40:00 UTC,3.8,116,H
2016-01-15 22:20:00 UTC,1.2,37,L
2016-01-16 03:35:00 UTC,3.4,104,H
2016-01-16 10:32:00 UTC,0.5,15,L
2016-01-16 16:32:00 UTC,3.9,119,H
2016-01-16 23:39:00 UTC,1.1,34,L
2016-01-17 05:00:00 UTC,3.1,94,H
2016-01-17 11:25:00 UTC,0.7,21,L
2016-01-17 17:28:00 UTC,4.1,125,H
2016-01-18 00:57:00 UTC,0.9,27,L
2016-01-18 06:25:00 UTC,2.9,88,H
2016-01-18 12:22:00 UTC,0.9,27,L
2016-01-18 18:25:00 UTC,4.2,128,H
2016-01-19 02:08:00 UTC,0.6,18,L
2016-01-19 07:41:00 UTC,2.9,88,H
2016-01-19 13:21:00 UTC,1.1,34,L
2016-01-19 19:20:00 UTC,4.3,131,H
2016-01-20 03:11:00 UTC,0.3,9,L
2016-01-20 08:47:00 UTC,2.9,88,H
2016-01-20 14:20:00 UTC,1.2,37,L
2016-01-20 20:11:00 UTC,4.4,134,H
2016-01-21 04:08:00 UTC,0.1,3,L
2016-01-21 09:46:00 UTC,3.0,91,H
2016-01-21 15:18:00 UTC,1.3,40,L
2016-01-21 20:58:00 UTC,4.4,134,H
2016-01-22 04:58:00 UTC,-0.1,-3,L
2016-01-22 10:39:00 UTC,3.1,94,H
2016-01-22 16:14:00 UTC,1.4,43,L
2016-01-22 21:43:00 UTC,4.4,134,H
2016-01-23 05:44:00 UTC,-0.1,-3,L
2016-01-23 11:29:00 UTC,3.2,98,H
2016-01-23 17:06:00 UTC,1.5,46,L
2016-01-23 22:27:00 UTC,4.3,131,H
2016-01-24 06:26:00 UTC,-0.1,-3,L
2016-01-24 12:15:00 UTC,3.3,101,H
2016-01-24 17:55:00 UTC,1.5,46,L
2016-01-24 23:10:00 UTC,4.3,131,H
2016-01-25 07:04:00 UTC,0.0,0,L
2016-01-25 12:58:00 UTC,3.4,104,H
2016-01-25 18:42:00 UTC,1.5,46,L
2016-01-25 23:54:00 UTC,4.1,125,H
2016-01-26 07:39:00 UTC,0.1,3,L
2016-01-26 13:39:00 UTC,3.5,107,H
