time,feet,centimeters,tide
2015-12-31 00:37:00 UTC,13.4,408,H
2015-12-31 07:04:00 UTC,1.2,37,L
2015-12-31 13:27:00 UTC,13.6,415,H
2015-12-31 19:35:00 UTC,4.3,131,L
2016-01-01 01:26:00 UTC,12.2,372,H
2016-01-01 07:51:00 UTC,2.4,73,L
2016-01-01 14:17:00 UTC,13.0,396,H
2016-01-01 20:37:00 UTC,4.8,146,L
2016-01-02 02:23:00 UTC,11.1,338,H
2016-01-02 08:40:00 UTC,3.5,107,L
2016-01-02 15:08:00 UTC,12.7,387,H
2016-01-02 21:46:00 UTC,4.8,146,L
2016-01-03 03:35:00 UTC,10.3,314,H
2016-01-03 09:37:00 UTC,4.4,134,L
2016-01-03 16:05:00 UTC,12.7,387,H
2016-01-03 22:58:00 UTC,4.3,131,L
2016-01-04 04:54:00 UTC,10.2,311,H
2016-01-04 10:41:00 UTC,5.0,152,L
2016-01-04 17:03:00 UTC,13.0,396,H
2016-01-05 00:01:00 UTC,3.4,104,L
2016-01-05 06:06:00 UTC,10.6,323,H
2016-01-05 11:44:00 UTC,5.1,155,L
2016-01-05 17:56:00 UTC,13.6,415,H
2016-01-06 00:53:00 UTC,2.3,70,L
2016-01-06 07:04:00 UTC,11.3,344,H
2016-01-06 12:39:00 UTC,4.9,149,L
2016-01-06 18:44:00 UTC,14.3,436,H
2016-01-07 01:37:00 UTC,1.2,37,L
2016-01-07 07:52:00 UTC,12.1,369,H
2016-01-07 13:28:00 UTC,4.5,137,L
2016-01-07 19:28:00 UTC,15.0,457,H
2016-01-08 02:17:00 UTC,0.1,3,L
2016-01-08 08:34:00 UTC,13.0,396,H
2016-01-08 14:12:00 UTC,3.9,119,L
2016-01-08 20:10:00 UTC,15.8,482,H
2016-01-09 02:54:00 UTC,-0.9,-27,L
2016-01-09 09:14:00 UTC,13.8,421,H
2016-01-09 14:53:00 UTC,3.3,101,L
2016-01-09 20:50:00 UTC,16.4,500,H
2016-01-10 03:31:00 UTC,-1.7,-52,L
2016-01-10 09:52:00 UTC,14.4,439,H
2016-01-10 15:33:00 UTC,2.7,82,L
2016-01-10 21:31:00 UTC,16.8,512,H
2016-01-11 04:08:00 UTC,-2.2,-67,L
2016-01-11 10:30:00 UTC,14.9,454,H
2016-01-11 16:14:00 UTC,2.3,70,L
2016-01-11 22:12:00 UTC,16.9,515,H
2016-01-12 04:46:00 UTC,-2.4,-73,L
2016-01-12 11:09:00 UTC,15.2,463,H
2016-01-12 16:57:00 UTC,2.0,61,L
2016-01-12 22:54:00 UTC,16.6,506,H
2016-01-13 05:25:00 UTC,-2.1,-64,L
2016-01-13 11:49:00 UTC,15.4,469,H
2016-01-13 17:43:00 UTC,1.9,58,L
2016-01-13 23:39:00 UTC,16.0,488,H
2016-01-14 06:07:00 UTC,-1.4,-43,L
2016-01-14 12:31:00 UTC,15.3,466,H
2016-01-14 18:33:00 UTC,2.0,61,L
2016-01-15 00:28:00 UTC,15.0,457,H
2016-01-15 06:51:00 UTC,-0.4,-12,L
2016-01-15 13:18:00 UTC,15.1,460,H
2016-01-15 19:29:00 UTC,2.3,70,L
2016-01-16 01:23:00 UTC,13.7,418,H
2016-01-16 07:41:00 UTC,0.9,27,L
2016-01-16 14:10:00 UTC,14.8,451,H
2016-01-16 20:35:00 UTC,2.4,73,L
2016-01-17 02:29:00 UTC,12.5,381,H
2016-01-17 08:38:00 UTC,2.3,70,L
2016-01-17 15:10:00 UTC,14.6,445,H
2016-01-17 21:49:00 UTC,2.3,70,L
2016-01-18 03:48:00 UTC,11.6,354,H
2016-01-18 09:46:00 UTC,3.4,104,L
2016-01-18 16:17:00 UTC,14.6,445,H
2016-01-18 23:06:00 UTC,1.8,55,L
2016-01-19 05:14:00 UTC,11.5,351,H
2016-01-19 11:01:00 UTC,4.1,125,L
2016-01-19 17:25:00 UTC,14.9,454,H
2016-01-20 00:17:00 UTC,0.8,24,L
2016-01-20 06:31:00 UTC,12.1,369,H
2016-01-20 12:14:00 UTC,4.1,125,L
2016-01-20 18:28:00 UTC,15.4,469,H
2016-01-21 01:16:00 UTC,-0.2,-6,L
2016-01-21 07:34:00 UTC,12.9,393,H
2016-01-21 13:17:00 UTC,3.7,113,L
2016-01-21 19:24:00 UTC,15.9,485,H
2016-01-22 02:07:00 UTC,-1.2,-37,L
2016-01-22 08:26:00 UTC,13.7,418,H
2016-01-22 14:10:00 UTC,3.2,98,L
2016-01-22 20:14:00 UTC,16.3,497,H
2016-01-23 02:52:00 UTC,-1.8,-55,L
2016-01-23 09:10:00 UTC,14.4,439,H
2016-01-23 14:57:00 UTC,2.7,82,L
2016-01-23 20:59:00 UTC,16.6,506,H
2016-01-24 03:33:00 UTC,-2.1,-64,L
2016-01-24 09:51:00 UTC,14.9,454,H
2016-01-24 15:39:00 UTC,2.3,70,L
2016-01-24 21:40:00 UTC,16.5,503,H
2016-01-25 04:11:00 UTC,-2.1,-64,L
2016-01-25 10:28:00 UTC,15.1,460,H
2016-01-25 16:19:00 UTC,2.1,64,L
2016-01-25 22:19:00 UTC,16.2,494,H
2016-01-26 04:46:00 UTC,-1.7,-52,L
2016-01-26 11:03:00 UTC,15.1,460,H
2016-01-26 16:57:00 UTC,2.1,64,L
2016-01-26 22:56:00 UTC,15.6,475,H
2016-01-27 05:21:00 UTC,-1.1,-34,L
2016-01-27 11:36:00 UTC,14.8,451,H
2016-01-27 17:35:00 UTC,2.3,70,L
2016-01-27 23:32:00 UTC,14.7,448,H
2016-01-28 05:54:00 UTC,-0.2,-6,L
2016-01-28 12:10:00 UTC,14.5,442,H
2016-01-28 18:13:00 UTC,2.7,82,L
2016-01-29 00:09:00 UTC,13.7,418,H
2016-01-29 06:28:00 UTC,0.9,27,L
2016-01-29 12:44:00 UTC,14.0,427,H
2016-01-29 18:54:00 UTC,3.2,98,L
2016-01-30 00:49:00 UTC,12.6,384,H
2016-01-30 07:03:00 UTC,2.1,64,L
2016-01-30 13:20:00 UTC,13.5,411,H
2016-01-30 19:41:00 UTC,3.7,113,L
2016-01-31 01:34:00 UTC,11.4,347,H
2016-01-31 07:42:00 UTC,3.3,101,L
2016-01-31 14:02:00 UTC,13.0,396,H
2016-01-31 20:37:00 UTC,4.1,125,L
2016-02-01 02:32:00 UTC,10.4,317,H
2016-02-01 08:30:00 UTC,4.5,137,L
2016-02-01 14:54:00 UTC,12.6,384,H
