time,feet,centimeters,tide
2016-01-01 00:50:00 UTC,0.1,3,L
2016-01-01 06:56:00 UTC,2.4,73,H
2016-01-01 13:13:00 UTC,0.4,12,L
2016-01-01 19:04:00 UTC,2.4,73,H
2016-01-02 01:34:00 UTC,0.1,3,L
2016-01-02 07:46:00 UTC,2.4,73,H
2016-01-02 14:07:00 UTC,0.4,12,L
2016-01-02 19:55:00 UTC,2.2,67,H
2016-01-03 02:19:00 UTC,0.1,3,L
2016-01-03 08:41:00 UTC,2.4,73,H
2016-01-03 15:01:00 UTC,0.4,12,L
2016-01-03 20:51:00 UTC,2.2,67,H
2016-01-04 03:05:00 UTC,0.1,3,L
2016-01-04 09:38:00 UTC,2.5,76,H
2016-01-04 15:54:00 UTC,0.4,12,L
2016-01-04 21:49:00 UTC,2.2,67,H
2016-01-05 03:53:00 UTC,0.1,3,L
2016-01-05 10:31:00 UTC,2.6,79,H
2016-01-05 16:49:00 UTC,0.3,9,L
2016-01-05 22:43:00 UTC,2.2,67,H
2016-01-06 04:43:00 UTC,0.0,0,L
2016-01-06 11:19:00 UTC,2.7,82,H
2016-01-06 17:42:00 UTC,0.1,3,L
2016-01-06 23:33:00 UTC,2.3,70,H
2016-01-07 05:34:00 UTC,-0.1,-3,L
2016-01-07 12:03:00 UTC,2.9,88,H
2016-01-07 18:32:00 UTC,0.0,0,L
2016-01-08 00:19:00 UTC,2.3,70,H
2016-01-08 06:24:00 UTC,-0.2,-6,L
2016-01-08 12:46:00 UTC,3.0,91,H
2016-01-08 19:19:00 UTC,-0.2,-6,L
2016-01-09 01:03:00 UTC,2.4,73,H
2016-01-09 07:12:00 UTC,-0.3,-9,L
2016-01-09 13:29:00 UTC,3.1,94,H
2016-01-09 20:02:00 UTC,-0.3,-9,L
2016-01-10 01:48:00 UTC,2.5,76,H
2016-01-10 07:58:00 UTC,-0.4,-12,L
2016-01-10 14:13:00 UTC,3.2,98,H
2016-01-10 20:44:00 UTC,-0.4,-12,L
2016-01-11 02:34:00 UTC,2.6,79,H
2016-01-11 08:44:00 UTC,-0.4,-12,L
2016-01-11 14:58:00 UTC,3.2,98,H
2016-01-11 21:26:00 UTC,-0.5,-15,L
2016-01-12 03:21:00 UTC,2.7,82,H
2016-01-12 09:30:00 UTC,-0.4,-12,L
2016-01-12 15:44:00 UTC,3.2,98,H
2016-01-12 22:09:00 UTC,-0.5,-15,L
2016-01-13 04:09:00 UTC,2.8,85,H
2016-01-13 10:19:00 UTC,-0.4,-12,L
2016-01-13 16:31:00 UTC,3.1,94,H
2016-01-13 22:55:00 UTC,-0.5,-15,L
2016-01-14 04:58:00 UTC,2.8,85,H
2016-01-14 11:13:00 UTC,-0.3,-9,L
2016-01-14 17:20:00 UTC,3.0,91,H
2016-01-14 23:45:00 UTC,-0.5,-15,L
2016-01-15 05:48:00 UTC,2.8,85,H
2016-01-15 12:13:00 UTC,-0.2,-6,L
2016-01-15 18:10:00 UTC,2.8,85,H
2016-01-16 00:39:00 UTC,-0.4,-12,L
2016-01-16 06:42:00 UTC,2.8,85,H
2016-01-16 13:18:00 UTC,-0.1,-3,L
2016-01-16 19:05:00 UTC,2.7,82,H
2016-01-17 01:36:00 UTC,-0.4,-12,L
2016-01-17 07:42:00 UTC,2.8,85,H
2016-01-17 14:24:00 UTC,-0.1,-3,L
2016-01-17 20:07:00 UTC,2.5,76,H
2016-01-18 02:35:00 UTC,-0.4,-12,L
2016-01-18 08:48:00 UTC,2.8,85,H
2016-01-18 15:30:00 UTC,0.0,0,L
2016-01-18 21:14:00 UTC,2.4,73,H
2016-01-19 03:34:00 UTC,-0.3,-9,L
2016-01-19 09:56:00 UTC,2.9,88,H
2016-01-19 16:37:00 UTC,-0.1,-3,L
2016-01-19 22:22:00 UTC,2.4,73,H
2016-01-20 04:35:00 UTC,-0.3,-9,L
2016-01-20 11:00:00 UTC,3.0,91,H
2016-01-20 17:41:00 UTC,-0.2,-6,L
2016-01-20 23:23:00 UTC,2.4,73,H
2016-01-21 05:36:00 UTC,-0.4,-12,L
2016-01-21 11:56:00 UTC,3.1,94,H
2016-01-21 18:41:00 UTC,-0.2,-6,L
2016-01-22 00:19:00 UTC,2.5,76,H
2016-01-22 06:34:00 UTC,-0.4,-12,L
2016-01-22 12:47:00 UTC,3.1,94,H
2016-01-22 19:32:00 UTC,-0.3,-9,L
2016-01-23 01:10:00 UTC,2.6,79,H
2016-01-23 07:27:00 UTC,-0.4,-12,L
2016-01-23 13:35:00 UTC,3.1,94,H
2016-01-23 20:18:00 UTC,-0.4,-12,L
2016-01-24 01:59:00 UTC,2.6,79,H
2016-01-24 08:14:00 UTC,-0.4,-12,L
2016-01-24 14:21:00 UTC,3.1,94,H
2016-01-24 20:59:00 UTC,-0.4,-12,L
2016-01-25 02:46:00 UTC,2.6,79,H
2016-01-25 08:57:00 UTC,-0.4,-12,L
2016-01-25 15:05:00 UTC,3.0,91,H
2016-01-25 21:36:00 UTC,-0.3,-9,L
2016-01-26 03:31:00 UTC,2.6,79,H
2016-01-26 09:37:00 UTC,-0.3,-9,L
2016-01-26 15:46:00 UTC,2.9,88,H
2016-01-26 22:11:00 UTC,-0.3,-9,L
2016-01-27 04:13:00 UTC,2.6,79,H
2016-01-27 10:16:00 UTC,-0.1,-3,L
2016-01-27 16:26:00 UTC,2.8,85,H
2016-01-27 22:45:00 UTC,-0.2,-6,L
2016-01-28 04:54:00 UTC,2.6,79,H
2016-01-28 10:57:00 UTC,0.0,0,L
2016-01-28 17:05:00 UTC,2.6,79,H
2016-01-28 23:21:00 UTC,-0.1,-3,L
2016-01-29 05:34:00 UTC,2.5,76,H
2016-01-29 11:40:00 UTC,0.1,3,L
2016-01-29 17:44:00 UTC,2.5,76,H
2016-01-29 23:59:00 UTC,0.0,0,L
2016-01-30 06:14:00 UTC,2.5,76,H
2016-01-30 12:27:00 UTC,0.2,6,L
2016-01-30 18:24:00 UTC,2.4,73,H
2016-01-31 00:41:00 UTC,0.1,3,L
2016-01-31 06:58:00 UTC,2.4,73,H
